,economy,GDP per capita (current US$),"Government expenditure on education, total (% of government expenditure)",Current health expenditure (% of GDP),Gini index,"Life expectancy at birth, total (years)",year,region,ncomelvl,incomelvl
14,AFE,1601.72765054704,18.1637001037598,6.44395355300087,,58.8272792062821,2010,,,
15,AFE,1735.58492331253,18.6526757626671,6.35389212552533,,59.2000040300701,2011,,,
16,AFE,1702.9691001504,19.4848194122314,6.16748822866704,,60.2495123598467,2012,,,
17,AFE,1673.22110186487,17.4679158828022,6.16127136570725,,60.895739752772,2013,,,
18,AFE,1656.16770915726,18.9779653549194,5.82088066015327,,61.2514360156709,2014,,,
19,AFE,1479.61525980543,17.3620891571045,5.9713905922151,,61.713030523495,2015,,,
20,AFE,1329.80728479234,17.3513063092566,6.06778640864792,,62.1679813169199,2016,,,
21,AFE,1520.21223076132,18.6662750914785,5.929017140206,,62.5912750961501,2017,,,
22,AFE,1538.90167917284,18.90159034729,5.789154817055,,63.3306913582336,2018,,,
23,AFE,1493.81793829992,18.5068975878254,5.81267571889709,,63.8572612837042,2019,,,
24,AFE,1344.10320999294,15.8905396021243,6.03580639616092,,63.7664840026943,2020,,,
25,AFE,1522.3933455926,15.5322399139404,6.04446785568353,,62.9799991857494,2021,,,
26,AFE,1628.31894446307,15.896857713541,5.72792044451625,,64.4870195456608,2022,,,
27,AFE,1510.74295082335,15.024640083313,,,65.146290855385,2023,,,
28,AFE,1567.63583892828,15.6886049826857,,,,2024,,,
43,AFW,1663.96693663873,16.5039100646973,3.53343608253321,,54.603353213388,2010,,,
44,AFW,1844.1985949993,14.8677701950073,3.50917780913662,,54.9639734890226,2011,,,
45,AFW,1941.36955612659,14.5397996902466,3.48115653658556,,55.2927058217917,2012,,,
46,AFW,2131.66206746081,14.9624490263963,3.6091851488304,,55.5549074075857,2013,,,
47,AFW,2221.01066549765,13.9848799705505,3.63725925102761,,55.6954463398569,2014,,,
48,AFW,1860.72769393488,14.7278146743775,3.87204089971725,,56.0383356484355,2015,,,
49,AFW,1630.03944681121,13.2992849349975,3.83469623415834,,56.3924518507367,2016,,,
50,AFW,1574.23056047232,16.137779712677,3.74252858246796,,56.6264388112566,2017,,,
51,AFW,1720.14027955102,16.8831596374512,3.30462450428005,,57.036976441386,2018,,,
52,AFW,1798.34068458315,14.8143742207793,3.32897540102703,,57.1498467555118,2019,,,
53,AFW,1680.03933212698,14.7968659004706,3.89296420486982,,57.3644254011107,2020,,,
54,AFW,1765.9547879785,15.3551631854332,4.15231880504646,,57.3625716910274,2021,,,
